Sr No,startup,vertical,city,investors,round,amount,year,state
1,#Fame,Media,Mumbai,To the new ventures,Private Equity,82.5,2015,Maharashtra
2,1mg,Healthcare,Gurugram,"Deep kalra, Sequoia capital, Omidyar network, Intel capital & kae capital",Private Equity,49.5,2015,Haryana
3,20Dresses,Personal Care,Mumbai,"Srinivas aluri, Srinivas modukury, Bs nagesh",Seed Funding,8.25,2015,Maharashtra
4,33Coupons,Marketing,Kanpur,Not disclosed,Seed Funding,0.17,2015,Uttar Pradesh
5,6Degree,Networking,Mumbai,"Centre for incubation & business acceleration (ciba), Goa",Seed Funding,0,2015,Maharashtra
6,aagaar,Food,Gurugram,Group of investors,Seed Funding,0,2015,Haryana
7,Aasaanjobs,Careers,Mumbai,"Inventus capital partners, Idg ventures",Seed Funding,12.38,2015,Maharashtra
8,Abhibus,Travel,Hyderabad,Paytm (one97 communications),Private Equity,0,2015,Telangana
9,Absentia,Technology,Bengaluru,"Astarc ventures, 50k ventures & others",Seed Funding,1.49,2015,Karnataka
10,Actionable Analytics,Data Analytics,New Delhi,"B m gupta, Vinod singhal",Seed Funding,0,2015,Delhi
11,AdStringO,Marketing,Mumbai,"Arihant patni, Vishal khare,  viswanath ramachandran",Seed Funding,2.89,2015,Maharashtra
12,AdWyze,Marketing ,Bengaluru,Mape advisory,Seed Funding,8.25,2015,Karnataka
13,AgentDesks,Real Estate,Gurugram,"Sierra ventures, Cota capital, Vegas tech fund",Seed Funding,24.34,2015,Haryana
14,Agrostar,AgriTech,Pune,Idg ventures,Private Equity,33,2015,Maharashtra
15,AHA Taxis,Transportation,Noida,Ah! ventures,Seed Funding,0,2015,Uttar Pradesh
16,Aisle.co,E-Commerce,Bengaluru,"Anand vijay, Shashank mehrotra & others",Seed Funding,0.83,2015,Karnataka
17,Akosha,Technology,New Delhi,Sequoia capital,Private Equity,132,2015,Delhi
18,AllIzHealth,Healthcare,Pune,Mumbai angels & other angel investors,Seed Funding,2.89,2015,Maharashtra
19,Allygrow Technologies,Technology,Mumbai,Zodius technology fund,Private Equity,165,2015,Maharashtra
20,AlmaMapper,Education,Ahmedabad,Oswal techno ventures llp,Seed Funding,3.3,2015,Gujarat
21,Amagi Media Labs,Media,Bengaluru,Premji invest & mayfield fund,Private Equity,0,2015,Karnataka
22,Ameyo,Technology,Gurugram,forum synergies pe fund,Private Equity,41.25,2015,Haryana
23,Amigobulls,Finance,Bengaluru,"Sharad sharma, Vijay anand, Mohandas pai. pallav nadhani, Singapore angels network & others",Seed Funding,0,2015,Karnataka
24,Ampere,Transportation,Coimbatore,Ratan tata,Seed Funding,0,2015,Tamil Nadu
25,Ampere Vehicles,Transportation,Coimbatore,Kris gopalakrishnan & others,Seed Funding,9.9,2015,Tamil Nadu
26,Anakage,Personal Care,Bengaluru,Cio angel network (can),Seed Funding,0,2015,Karnataka
27,Antuit,Data Analytics,Bengaluru,"Goldman sachs, Zodius capital",Private Equity,462,2015,Karnataka
28,Appbase,Technology,Pune,"Da-iict, Techstars, Carnegie mellon university, Startup brasil program",Seed Funding,2.39,2015,Maharashtra
29,Appedo,Technology,Bengaluru,Undisclosed investors,Seed Funding,8.25,2015,Karnataka
30,Applicate,Software,Bengaluru,"Rishi vasudev, Amit gupta, Rajiv nayan",Seed Funding,4.54,2015,Karnataka
31,Applied Solar Technologies,Energy,Mumbai,"Future fund, Bessemer venture, Capricorn investment and ifc",Private Equity,330,2015,Maharashtra
32,Applop,IT,Kolkata,Ghv accelerator,Seed Funding,0.83,2015,West Bengal
33,Appsdaily,Technology,Mumbai,"Zodius capital, Ru-net, Kalaari capital,  qualcomm ventures",Private Equity,132,2015,Maharashtra
34,Appvigil,Services,Mumbai,"Ravi gururaj, Gaurav sharma, Viswanath ramachandran, Ripplewave",Seed Funding,4.13,2015,Maharashtra
35,AppVirality,Marketing,Hyderabad,"Rajan anandan, Mike galgon, Ravi gururaj, Ashim mehra,  mohit saxena, Internet group, Tnn capital and others",Seed Funding,4.13,2015,Telangana
36,AppVirality,Marketing,Hyderabad,"Rajan anandan, Mike galgon, Ashim mehra, Mohit saxena, Ravi gururaj, Tnn capital & iig",Seed Funding,0,2015,Telangana
37,Arkin Net,Data Analytics,Pune,Nexus venture partners,Private Equity,123.75,2015,Maharashtra
38,Arohan Financial Services,FinTech,Kolkata,Tano capital,Private Equity,82.5,2015,West Bengal
39,Arth DesignBuild,Technology,Hyderabad,Srinivas tirupati,Seed Funding,4.13,2015,Telangana
40,Artoo,Technology,Bengaluru,"Accion venture labs, Rianta capital",Private Equity,4.13,2015,Karnataka
41,Arya.ai,AI,Mumbai,"Yournest angel fund, Venture nursery",Private Equity,6.19,2015,Maharashtra
42,Aryaka,Technology,Bengaluru,"Trinity ventures, Interwest partners, Mohr davidow ventures, Presidio ventures",Private Equity,132,2015,Karnataka
43,AskMyGift,Households,Noida,Turning ideas,Seed Funding,0.41,2015,Uttar Pradesh
44,Ather Energy,EV,Bengaluru,Tiger global,Private Equity,99,2015,Karnataka
45,Attune Technologies,Healthcare,Chennai,"Qualcomm venture, Norwest venture partners",Private Equity,82.5,2015,Tamil Nadu
46,Avanti Learning,Education,New Delhi,"Michael & susan dell foundation, Pearson learning fund",Private Equity,12.38,2015,Delhi
47,Awaaz De,Communication,Ahmedabad,Samir shah,Seed Funding,0,2015,Gujarat
48,Axtria,Data Analytics,Gurugram,"Helion venture partners, Amarpreet sawhney, Deshpande foundation, Fred khosravi, Richard s. braddock",Private Equity,247.5,2015,Haryana
49,Aye Finance,Finance,Gurugram,"Saif partners, Accion",Private Equity,24.75,2015,Haryana
50,Babajobs,Careers,Bengaluru,Seek ltd & affiliates,Private Equity,82.5,2015,Karnataka
51,BabyChakra,Consumer Internet,Mumbai,"Mumbai angels, Patni family office, Singapore angel network, Karan maheshwari, Jatin aneja, Kishor ganji, Roopa nath",Seed Funding,0,2015,Maharashtra
52,Banihal,Transportation,New Delhi,Dr david cheriton,Seed Funding,0,2015,Delhi
53,BankBazaar,FinTech,Chennai,"Amazon, Fidelity growth partners, Mousse partners",Private Equity,495,2015,Tamil Nadu
54,Baxi,Transportation,Gurugram,"Manish kheterpal, Alok mittal,  puneet dalmia,",Seed Funding,11.96,2015,Haryana
55,BeaconsTalk,Technology,Mumbai,Puneet bhatia & others,Seed Funding,0.66,2015,Maharashtra
56,Belita,Personal Care,Mumbai,"India quotient, Letsventure investors, Lead angels",Seed Funding,3.3,2015,Maharashtra
57,Bestdealfinance,Finance,Mumbai,"Kalaari capital, Yournest angel fund",Private Equity,24.75,2015,Maharashtra
58,BetterButter.in,Food,New Delhi,"Growx ventures, Manish singhal",Seed Funding,0,2015,Delhi
59,Bevy,Event Management,Bengaluru,Varun agarwal & others,Seed Funding,0,2015,Karnataka
60,Bewakoof,Personal Care,Mumbai,"Rohit bansal, Kunal bahl, Nikhil vora",Seed Funding,0,2015,Maharashtra
61,BiBox,E-Commerce,Bengaluru,Ravi krishnamurthy,Seed Funding,4.37,2015,Karnataka
62,Bidgely,Energy,Bengaluru,"Constellation technology ventures (exelon corporation), E.on, Rwe, Khosla ventures",Private Equity,136.95,2015,Karnataka
63,Big Basket,E-Commerce,Bengaluru,Bessemer venture partners,Private Equity,412.5,2015,Karnataka
64,BigStylist,Personal Care,Mumbai,Info edge,Private Equity,8.25,2015,Maharashtra
65,BillDesk,FinTech,Mumbai,Ta associates,Private Equity,618.75,2015,Maharashtra
66,Bite Club,Food,Gurugram,"Powai lake ventures, Aneesh reddy, Ashish kashyap, Alok mittal",Seed Funding,4.13,2015,Haryana
67,Biteclub,Food,Gurugram,Growx ventures,Private Equity,0,2015,Haryana
68,Bizongo,B2B,Mumbai,Accel partners,Seed Funding,0,2015,Maharashtra
69,Black White Orange,B2B,Mumbai,Collaborative licensing ventures llp,Seed Funding,2.5,2015,Maharashtra
70,Black White Orange Brands,E-Commerce,Mumbai,Youwecan ventures,Seed Funding,0,2015,Maharashtra
71,BlackBuck,Logistics,Bengaluru,"Tiger global management, Yuri milner, Apoletto, Accel partners, Flipkart",Private Equity,206.25,2015,Karnataka
72,Blubox,E-Commerce,Mumbai,Ashish jhalani,Seed Funding,0.83,2015,Maharashtra
73,Bluebirch,Technology,Bengaluru,"Chicago capital ventures, Sanjay mehta, Others",Seed Funding,16.5,2015,Karnataka
74,Bluegape,E-Commerce,New Delhi,"Ah! ventures, Times internet, Rudy gopalakrishnan",Seed Funding,4.95,2015,Delhi
75,Bluegape,E-Commerce,Gurugram,"Rudy gopalakrishnan, Ah! ventures",Seed Funding,1.65,2015,Haryana
76,BlueStone,E-Commerce,Bengaluru,"ivycap ventures, Accel partners, Dragoneer investment group",Private Equity,133.65,2015,Karnataka
77,Bobble,Technology,New Delhi,Saif partners & others,Private Equity,0,2015,Delhi
78,BolRealty,Real Estate,New Delhi,Manpreet singh,Seed Funding,0,2015,Delhi
79,Bona Vita,Travel,Gurugram,Makemytrip,Private Equity,41.25,2015,Haryana
80,Bonhomia,Lifestyle,New Delhi,"Kanwaljit singh, Shripad nadkarni, Sarvesh shahra & others",Seed Funding,16.5,2015,Delhi
81,BookEventz,Consumer Internet,Mumbai,"Mumbai angels, Singapore angel network, Zishaan hayath",Seed Funding,0,2015,Maharashtra
82,BookMeIn,Services,Mumbai,Ajmera group of companies,Seed Funding,3.3,2015,Maharashtra
83,BookMyBai,Services,Mumbai,Vineel nalla & others,Seed Funding,1.24,2015,Maharashtra
84,Bounty App,Software,Bengaluru,"Fireside ventures, Mumbai angels mape advisory group.",Seed Funding,0,2015,Karnataka
85,Box8,Delivery,Mumbai,Mayfield ventures,Private Equity,28.88,2015,Maharashtra
86,Boxmyspace,Logistics,Mumbai,"Ritesh veera, Singapore angel network, Orios venture partners,",Seed Funding,2.48,2015,Maharashtra
87,Brigge,Logistics,Chennai,The chennai angels,Seed Funding,0,2015,Tamil Nadu
88,Briston Technomach,IoT,New Delhi,Undisclosed,Seed Funding,1.24,2015,Delhi
89,Bro4U,Services,Bengaluru,Sargod ventures,Seed Funding,0,2015,Karnataka
90,BroEx,Real Estate,Gurugram,Lightspeed india,Private Equity,8.25,2015,Haryana
91,Bueno,Delivery,Gurugram,High networth individuals (no details),Seed Funding,4.95,2015,Haryana
92,Bumper,Delivery,Bengaluru,Saif partners,Seed Funding,4.13,2015,Karnataka
93,Burger Singh,Food,Gurugram,"Ashvin chadha, Avtar monga, Udaan angels, Dheeraj jain",Seed Funding,4.13,2015,Haryana
94,Buttercups,E-Commerce,Bengaluru,"Kanwaljit singh, Angie mahtaney, Manoj varghese",Seed Funding,0,2015,Karnataka
95,Butterfly Interactive,Entertainment,New Delhi,Undisclosed investors,Seed Funding,0,2015,Delhi
96,BuyHatke,E-Commerce,Bengaluru,"S.gopalakrishnan, Beenos",Seed Funding,8.25,2015,Karnataka
97,Cabsguru,Transportation,New Delhi,Prashanth ranganathan,Seed Funding,1.65,2015,Delhi
98,CAKART.in,EdTech,Bengaluru,Sunil maheshwari & group of investors,Seed Funding,0,2015,Karnataka
99,CanvasFlip,Design,Hyderabad,Bessemer venture partners,Seed Funding,9.9,2015,Telangana
100,Canvera,Consumer Internet,Bengaluru,Info edge (india) ltd,Private Equity,18.15,2015,Karnataka
101,Capabiliti,Education,Noida,"500 startups, Smile multimedia, Kunal bahl, Rohit bansal, Girish matrubootham",Seed Funding,3.3,2015,Uttar Pradesh
102,Capillary Tech,Cloud Tech,New Delhi,"Warburg pincus, Sequoia capital, Norwest venture partners",Private Equity,371.25,2015,Delhi
103,Capital Float,Finance,Bengaluru,"Saif partners, Sequoia capital, Aspada",Private Equity,107.25,2015,Karnataka
104,Capricoast,Travel,Bengaluru,"Accel partners india, Rb investments",Private Equity,28.88,2015,Karnataka
105,Capricoast,Travel,Bengaluru,Accel partners india,Seed Funding,10.31,2015,Karnataka
106,Caratlane,Personal Care,Chennai,Tiger global,Private Equity,255.75,2015,Tamil Nadu
107,Caravan Craft,Households,Bengaluru,"Unitus seed fund, Bijou kurien, Narayan ramachandran",Private Equity,9.9,2015,Karnataka
108,Caravan Craft,Households,Bengaluru,"Unitus seed fund\\nnarayan ramachandran, Bijou kurien",Seed Funding,4.13,2015,Karnataka
109,CarDekho,Automotive,Jaipur,"Hillhouse capital, Tybourne capital",Private Equity,412.5,2015,Rajasthan
110,CarDekho,Automotive,Jaipur,Hdfc bank,Private Equity,0,2015,Rajasthan
111,Care24,Healthcare,Mumbai,India quotient,Seed Funding,2.89,2015,Maharashtra
112,Carl's Jr,Personal Care,Gurugram,Youwecan ventures,Seed Funding,5.2,2015,Haryana
113,CaRPM,Transportation,Gurugram,Ghv accelerator,Seed Funding,0.83,2015,Haryana
114,Cartisan,Delivery,Bengaluru,"Youwecan ventures,  aprameya radhakrishna",Seed Funding,0,2015,Karnataka
115,CarTrade,Automotive,Mumbai,Chip perry,Private Equity,0,2015,Maharashtra
116,Casa2inns,Hospitality,New Delhi,"Accel partners, Kalaari capital",Private Equity,41.25,2015,Delhi
117,CashKaro,FinTech,Gurugram,Kalaari capital,Private Equity,30.53,2015,Haryana
118,CBREX,Services,Mumbai,"Prahlad rao, Sundara rajan, Vikram chachra",Seed Funding,1.65,2015,Maharashtra
119,CBS,Media,Mumbai,Hyderabad angels (at startup heroes event),Seed Funding,0.13,2015,Maharashtra
120,Chaayos,Food,New Delhi,Tiger global management,Private Equity,8.25,2015,Delhi
121,Chai Point,Food,Bengaluru,Eight roads ventures,Private Equity,82.5,2015,Karnataka
122,Changer Mints,Food,Kolkata,Hyderabad based investor,Seed Funding,1.36,2015,West Bengal
123,ChargeBee,FinTech,Chennai,"Tiger global, Accel partners",Private Equity,41.25,2015,Tamil Nadu
124,Chargein,FinTech,Bengaluru,Pittie group,Seed Funding,0.83,2015,Karnataka
125,Chefs Basket,Food,Mumbai,"Saif partners, Haresh chawla",Private Equity,49.5,2015,Maharashtra
126,Chillr,FinTech,Mumbai,"Sequoia capital, Blume ventures, Uniqorn ventures and other",Private Equity,577.5,2015,Maharashtra
127,Chillr,FinTech,Mumbai,Sequoia capital,Private Equity,49.5,2015,Maharashtra
128,Chloroplast Foods,Food,Mumbai,Group of angel investors,Seed Funding,0.14,2015,Maharashtra
129,CimplyFive,Technology,Bengaluru,"Suresh senapaty, Tv mohandas pai",Seed Funding,0,2015,Karnataka
130,Citrus Payment,FinTech,Mumbai,"Sequoia capital, Ascent capital, Econtext asia, Beenos asia",Private Equity,206.25,2015,Maharashtra
131,CityFlo,Transportation,Mumbai,Idg ventures,Seed Funding,6.19,2015,Maharashtra
132,CityFurnish,Households,Gurugram,Jitendra gupta,Seed Funding,0,2015,Haryana
133,Clapsnslaps,Media,Mumbai,R m picture company pvt. ltd.,Seed Funding,1.24,2015,Maharashtra
134,ClearTax,FinTech,New Delhi,Paytm (one97 communications),Private Equity,0,2015,Delhi
135,CleverSharks,Technology,Bengaluru,Group of angel investors,Seed Funding,0.14,2015,Karnataka
136,Clonect Solutions,Technology,Bengaluru,"V balakrishnan, T v mohandas pai, Bc prabhakar",Seed Funding,2.06,2015,Karnataka
137,Cloud Lending,FinTech,Bengaluru,Sf capital group,Private Equity,66,2015,Karnataka
138,CloudCherry,Cloud Tech,Chennai,"The chennai angels, Idg ventures india",Seed Funding,8.25,2015,Tamil Nadu
139,Clovia,Personal Care,New Delhi,Ivycap ventures,Private Equity,41.25,2015,Delhi
140,CollateBox,E-Commerce,Pune,Letsventure,Seed Funding,1.49,2015,Maharashtra
141,Collectabillia,E-Commerce,Bengaluru,Accel partners,Private Equity,61.88,2015,Karnataka
142,CollegeDekho,EdTech,Jaipur,Girnarsoft,Seed Funding,8.25,2015,Rajasthan
143,Commeasure,Data Analytics,Noida,Jungle ventures,Seed Funding,8.25,2015,Uttar Pradesh
144,Commonfloor,Real Estate,Bengaluru,Google capital,Private Equity,41.25,2015,Karnataka
145,ConfirmtTkt,Travel,Bengaluru,Pravin agarwala & others,Seed Funding,0,2015,Karnataka
146,Connect India,Logistics,New Delhi,Aavishkaar,Private Equity,41.25,2015,Delhi
147,ConnectAbank,Finance,Mumbai,Prakhar bumb,Seed Funding,0,2015,Maharashtra
148,Convegenius,Internet,Noida,Enablers platform,Seed Funding,2.48,2015,Uttar Pradesh
149,Cooey,Healthcare,Bengaluru,Subhash goyal,Seed Funding,3.88,2015,Karnataka
150,Coolshare,Transportation,Mumbai,Gopal aggarwal,Seed Funding,0.83,2015,Maharashtra
151,Corporate360,Data Analytics,Kochi,Group of angel investors,Seed Funding,1.65,2015,Kerala
152,couponmachine.in,Finance,New Delhi,Uk based group of angel investors,Seed Funding,1.16,2015,Delhi
153,CouponRaja,Finance,Mumbai,"Mahesh pratapneni, Pallab chatterjee & others",Seed Funding,4.13,2015,Maharashtra
154,CoverFox,FinTech,Mumbai,"Accel us, Accel india, Saif partners.",Private Equity,99,2015,Maharashtra
155,CoverFox,FinTech,Mumbai,Cataraman ventures,Private Equity,16.5,2015,Maharashtra
156,Craftstvilla,E-Commerce,Mumbai,"Sequoia capital, Nexus venture partners, Lightspeed ventures, Gfc",Private Equity,148.5,2015,Maharashtra
157,CraftsVilla,E-Commerce,Mumbai,"Sequoia india, Lightspeed venture partners, Nexus venture partners, Global founders capital, Apoletto",Private Equity,280.5,2015,Maharashtra
158,Crayon Data,Data Analytics,Chennai,Ratan tata,Private Equity,0,2015,Tamil Nadu
159,CrediHealth,Healthcare,Gurugram,Rajat malhotra,Seed Funding,0,2015,Haryana
160,Credit Mantri,FinTech,Chennai,"Idg ventures india, Elevar equity, Accion venture lab",Private Equity,20.63,2015,Tamil Nadu
161,CredR,Automotive,Mumbai,Eight road ventures,Private Equity,123.75,2015,Maharashtra
162,CredR,Automotive,Mumbai,Growthstory,Seed Funding,0,2015,Maharashtra
163,Crowdfire (formerly Justunfollow),Marketing,Mumbai,Kalaari capital,Private Equity,20.63,2015,Maharashtra
164,CrownIt,Services,Gurugram,"Accel partners, Helion venture partners",Private Equity,45.38,2015,Haryana
165,Cube26,Technology,New Delhi,"Tiger global management, Flipkart",Private Equity,63.53,2015,Delhi
166,Cubito,E-Commerce,Bengaluru,Sol primero,Seed Funding,1.32,2015,Karnataka
167,Cuelearn,EdTech,New Delhi,Alok mittal,Seed Funding,0,2015,Delhi
168,Culture Machine,Entertainment,Mumbai,"Tiger global, Times internet, Zodius capital",Private Equity,148.5,2015,Maharashtra
169,CultureAlley,Education,Jaipur,Tiger global,Private Equity,53.63,2015,Rajasthan
170,Cupick,Technology,Bengaluru,Group of angel investors from us/india,Seed Funding,0.99,2015,Karnataka
171,CureJoy,Healthcare,Bengaluru,"Accel partners, Subrata mitra, Larry braitman, Venk krishna",Private Equity,9.49,2015,Karnataka
172,Curofy,Healthcare,New Delhi,Roundglass partners,Private Equity,0,2015,Delhi
173,Customer360,Data Analytics,Mumbai,Vishwas patel,Seed Funding,0,2015,Maharashtra
174,CustomFurnish,Households,Hyderabad,Agnus capital,Private Equity,37.13,2015,Telangana
175,CustomFurnish,Households,Hyderabad,"Madhukar gangadi, Satish reddy, Srini raju, Srini koppolu & sidbi",Private Equity,20.63,2015,Telangana
176,Daily Rounds,Healthcare,Bengaluru,"Kae capital, Gsf, Teruhide sato",Seed Funding,4.13,2015,Karnataka
177,DailyNinja,E-Commerce,Bengaluru,"Aprameya radhakrishna, Naman sarawagi, Afsal salu,",Seed Funding,0,2015,Karnataka
178,Dazo,Food,Bengaluru,"Sumit jain, Aprameya radhakrishna, Alok goel, Rajan anandan, Amit agrawal, Vinay goel, Gaurav munjal, Ashish dev kapur",Seed Funding,0,2015,Karnataka
179,Dealwithus,E-Commerce,Gurugram,Group of angel investors,Seed Funding,0.14,2015,Haryana
180,deGustibus,Food,Mumbai,India value fund advisors,Private Equity,247.5,2015,Maharashtra
181,Delight Foods,Food,Bengaluru,"Lensbridge capital, Mape advisory group, Fireside ventures",Private Equity,4.95,2015,Karnataka
182,Deyor Rooms,Consumer Internet,Gurugram,Dheeraj jain & others,Seed Funding,4.13,2015,Haryana
183,DiabetOmics,Healthcare,Hyderabad,"Ventureeast,  varaprasad reddy",Private Equity,41.25,2015,Telangana
184,Didi,Transportation,Mumbai,"Jozef bardik, Leo wang sangeeth ram",Seed Funding,1.24,2015,Maharashtra
185,Digital Gorkha,Media,Bengaluru,Ramesh kavediya,Seed Funding,1.37,2015,Karnataka
186,DishCo,Food,Mumbai,"Anand mahindra, Uday punj, Ashish hemrajani, Sanjeev mehra",Seed Funding,0,2015,Maharashtra
187,Djubo,Cloud Tech,New Delhi,Ibibo group,Private Equity,0,2015,Delhi
188,DocPlexus,Healthcare,Pune,"Uniqorn ventures, Asp consulting",Seed Funding,5.78,2015,Maharashtra
189,Doctor Insta,Healthcare,Gurugram,"Rishi parti, Brahmax ventures",Private Equity,4.13,2015,Haryana
190,Doormint,Services,Mumbai,"Helion venture partners, Kalaari capital",Private Equity,24.75,2015,Maharashtra
191,Doormint,Services,Mumbai,Powai lake ventures,Seed Funding,0,2015,Maharashtra
192,Drivestream,Technology,Bengaluru,Wipro,Private Equity,41.25,2015,Karnataka
193,Droom,E-Commerce,Gurugram,"Lightbox ventures, Beenos",Private Equity,132,2015,Haryana
194,DropKaffe,Food,Bengaluru,"Manish singhal, P39 capital & others",Seed Funding,2.48,2015,Karnataka
195,EarlySalary,FinTech,Pune,Ashok agarwal,Seed Funding,12.38,2015,Maharashtra
196,EasyFix,Services,Gurugram,Axilor ventures,Seed Funding,0,2015,Haryana
197,EasyKhaana,Delivery,New Delhi,Undisclosed investors,Seed Funding,0.83,2015,Delhi
198,EasyRewardz,FinTech,Mumbai,"Wealth first, Ashneer grover, Atul phadnis",Private Equity,4.13,2015,Maharashtra
199,Eat.Shop.Love,Personal Care,Bengaluru,Undisclosed investor,Private Equity,28.88,2015,Karnataka
200,Eatfresh,Food,Bengaluru,Kalaari capital,Private Equity,0,2015,Karnataka
201,Eatlo,Delivery,Bengaluru,"Powai lake ventures, Globeinvestor, Abhishekh goyal",Seed Funding,0,2015,Karnataka
202,Eattreatonline,Food,New Delhi,Group of 15 angel investors,Seed Funding,2.89,2015,Delhi
203,Eazy Coach,Education,Kolkata,Ravi agarwal,Seed Funding,0,2015,West Bengal
204,EazyDiner,Consumer Internet,Gurugram,"Dsg consumer partners, Saama capital",Private Equity,24.75,2015,Haryana
205,EazyDiner,Consumer Internet,New Delhi,"Deepak shahdadpuri, Gulpreet kohli",Seed Funding,0,2015,Delhi
206,Eckovation,Technology,New Delhi,Chandigarh angel network (can),Seed Funding,0,2015,Delhi
207,Ecom Express,Logistics,New Delhi,Warburg pincus,Private Equity,1130.25,2015,Delhi
208,Edu4Share,Education,New Delhi,Nalin jain & other angel investors,Seed Funding,1.82,2015,Delhi
209,EduKart,EdTech,New Delhi,"Holostik group, Youwecan ventures, 500 startups, Vijay shekhar sharma, Manish kheterpal, Amit patni",Private Equity,8.25,2015,Delhi
210,eKincare,Healthcare,Hyderabad,Adroitent pvt. ltd.,Seed Funding,1.33,2015,Telangana
211,Elanic,E-Commerce,Bengaluru,"Rebright partners, Tracxn labs, Aneesh reddy",Seed Funding,0,2015,Karnataka
212,elong,Data Analytics,Bengaluru,"Kunal bahl, Rohit bansal, Blume ventures, Phanindra sama, Raju reddy",Private Equity,41.25,2015,Karnataka
213,Enabli,Technology,Bengaluru,Hyderabad angels (at startup heroes event),Seed Funding,0.13,2015,Karnataka
214,Englishleap,Education,Gurugram,Analec,Private Equity,0,2015,Haryana
215,Entropy Innovations,Technology,Mumbai,Mark mobius & 9 other angel investors,Seed Funding,0,2015,Maharashtra
216,Envoged,Personal Care,Mumbai,"Ankush nijhawan, Manish dhingra, Gaurav bhatnagar",Seed Funding,0,2015,Maharashtra
217,ePoise,Technology,Bengaluru,"Orios venture partners, Amit ranjan & others",Seed Funding,4.13,2015,Karnataka
218,ePoise,Technology,Bengaluru,Undisclosed,Seed Funding,0,2015,Karnataka
219,eSadar,E-Commerce,New Delhi,"Neha vats, Gaurav vats",Seed Funding,0.66,2015,Delhi
220,etaout,E-Commerce,Noida,"Amit ranjan, Vijay shekhar sharma, Kunal bahl, Girish mathrubootham & group of other angel investors",Seed Funding,4.13,2015,Uttar Pradesh
221,EureQa,Technology,Hyderabad,"Sashi reddi, Gabriel investments",Seed Funding,4.95,2015,Telangana
222,EveningFlavors,Food,Bengaluru,Sandiep shrivatsava,Seed Funding,4.13,2015,Karnataka
223,Explara,Event Management,Pune,"Hyderabad angels, Singapore angel network, Ness wadia",Private Equity,4.04,2015,Maharashtra
224,Eywa Media,Media,Bengaluru,"Ah! ventures, Viktor koenig pe fund, Mantra ventures",Seed Funding,8.25,2015,Karnataka
225,Ezetap,FinTech,Bengaluru,"Horizons ventures, Capricorn investment group, Social+capital, Helion advisors, Berggruen holdings",Private Equity,206.25,2015,Karnataka
226,EzySolare,Technology,Ahmedabad,Infuse ventures,Seed Funding,0,2015,Gujarat
227,Faasos,Food,Pune,"Ru-net, Sequoia capital,  lightbox ventures",Private Equity,247.5,2015,Maharashtra
228,Faasos,Food,Pune,Lightbox ventures,Private Equity,165,2015,Maharashtra
229,Faaya,Personal Care,New Delhi,Group of angel investors,Seed Funding,0.14,2015,Delhi
230,Faircent,FinTech,Gurugram,M&s partners pte. ltd,Seed Funding,2.06,2015,Haryana
231,Faircent,FinTech,Gurugram,Aarin capital partners,Private Equity,0,2015,Haryana
232,Fashionove,Personal Care,Kolkata,Umesh yadav,Seed Funding,0,2015,West Bengal
233,Fastudent,Education,Noida,Ashish gupta,Seed Funding,0,2015,Uttar Pradesh
234,FindYahan,Services,Gurugram,"Karan bajwa, Parvesh bareja, Sunjay kapur, Amanpreet bajaj",Seed Funding,0,2015,Haryana
235,Fintellix,Banking,Bengaluru,"Idg ventures, Sequoia capital",Private Equity,123.75,2015,Karnataka
236,FirstCry,E-Commerce,Pune,Valiant capital partners,Private Equity,214.5,2015,Maharashtra
237,FirstCry,E-Commerce,Pune,"Silicon valley ventures, Nea ventures, Valiant capital, Idg ventures india,  saif partners, Vertex ventures",Private Equity,82.5,2015,Maharashtra
238,FirstTouch,Technology,Gurugram,"Kunal bahl, Rohit bansal, Pranay chulet, Naveen tiwari, Amit gupta, Mayank singhal",Seed Funding,0,2015,Haryana
239,Fitcircle,Healthcare,Mumbai,Beerud sheth and ravi mantha,Seed Funding,0,2015,Maharashtra
240,FitMeIn,Consumer Internet,New Delhi,Green house ventures,Seed Funding,0.83,2015,Delhi
241,Fitraq,Healthcare,Gurugram,Tarun arora,Seed Funding,1.24,2015,Haryana
242,Fitternity,Consumer Internet,Mumbai,Exfinity venture partners,Private Equity,8.25,2015,Maharashtra
243,Fixy,Services,Mumbai,Venturenursery,Seed Funding,0,2015,Maharashtra
244,Flashdoor,Real Estate,Bengaluru,"Sujeet kumar, Ankit nagori, Traxcn labs",Seed Funding,0,2015,Karnataka
245,Flatchat,Technology,Bengaluru,Commonfloor,Private Equity,20.63,2015,Karnataka
246,Flatpebble,Services,Hyderabad,Indian angel network,Seed Funding,4.95,2015,Telangana
247,FleetRover,Logistics,Goa,"Tim chen, Sanjay venkat",Seed Funding,1.49,2015,Goa
248,Flexing It,Sports,New Delhi,Undisclosed private investors,Seed Funding,4.13,2015,Delhi
249,Flipkart,E-Commerce,Bengaluru,Steadview capital and existing investors,Private Equity,5775,2015,Karnataka
250,Flipkart,E-Commerce,Bengaluru,Morgan stanley,Private Equity,412.5,2015,Karnataka
251,Flytxt,Marketing,Mumbai,"Sunrise capital gmbh, Big data investments b.v",Private Equity,90.75,2015,Maharashtra
252,Focus Digit,E-Commerce,New Delhi,Turning ideas,Seed Funding,0,2015,Delhi
253,FoodAbhi,Food,Mumbai,Group of angel investors,Seed Funding,0,2015,Maharashtra
