Sr No,startup,vertical,city,investors,round,amount,year,state
1243,HealthEnablr,Consumer Internet,Mumbai,Undisclosed investors,Seed Funding,6.6,2016,Maharashtra
1244,Healthians,Healthcare,Gurugram,Beenext,Private Equity,24.75,2016,Haryana
1245,HealthifyMe,Healthcare,Bengaluru,"Idg ventures india, Inventus capital, Blume ventures",Private Equity,49.5,2016,Karnataka
1246,HealthifyMe,Healthcare,Bengaluru,Nb ventures,Private Equity,8.25,2016,Karnataka
1247,HealthKart,E-Commerce,Gurugram,"Sequoia capital india, Omidyar network, Kae capital",Private Equity,99,2016,Haryana
1248,HealthKumbh,Consumer Internet,Ahmedabad,Undisclosed investor,Seed Funding,0.6,2016,Gujarat
1249,Hello Curry,Food ,Hyderabad,Sashi reddi & other unnamed investors,Private Equity,12.38,2016,Telangana
1250,Hello Tax,Consumer Internet,New Delhi,Sanjeev sinha,Seed Funding,2.43,2016,Delhi
1251,HelpChat,Consumer Internet,Bengaluru,"American express ventures, Sequoia capital",Private Equity,0,2016,Karnataka
1252,Helpi,Consumer Internet,Mumbai,Undisclosed investors,Seed Funding,0,2016,Maharashtra
1253,HelpShift,Technology,Pune,"Microsoft ventures, Salesforce ventures",Private Equity,189.75,2016,Maharashtra
1254,Highway Delite,Consumer Internet,Bengaluru,N.s. raghavan centre for entrepreneurial learning,Seed Funding,0,2016,Karnataka
1255,Hike,Consumer Internet,New Delhi,"Tencent holdings, Foxconn technology group, Tiger global, Softbank group, Bharti enterprises",Private Equity,1443.75,2016,Delhi
1256,Hike Messenger,Consumer Internet,New Delhi,"Matt mullenweg, Adam d'angelo, Aditya agarwal,  ruchi sanghvi & others",Private Equity,0,2016,Delhi
1257,Hipcask,Consumer Internet,Mumbai,Mobikon,Seed Funding,0,2016,Maharashtra
1258,Hippily,E-Commerce,Mumbai,"Dr. sridhar ramaswamy, Rakesh mathur",Seed Funding,2.06,2016,Maharashtra
1259,HitGrit,Consumer Internet,Chandigarh,"Ashish mahajan, Sarvesh sharma",Seed Funding,0,2016,Chandigarh
1260,HolaChef,Delivery,Mumbai,"Kalaari capital, India quotient",Private Equity,16.09,2016,Maharashtra
1261,Hoppingo,Consumer Internet,New Delhi,Vcommission,Seed Funding,0.73,2016,Delhi
1262,Hopscotch,E-Commerce,Mumbai,Eduardo saverin,Private Equity,107.25,2016,Maharashtra
1263,Horntell,Consumer Internet,Gurugram,"Bharanidharan viswanathan, Sanjiv mittal, Shobhit shukla, Rahul agarwal",Seed Funding,1.24,2016,Haryana
1264,Housing,Consumer Internet,Mumbai,Softbank corp,Private Equity,123.75,2016,Maharashtra
1265,Housing,Consumer Internet,Mumbai,Softbank group,Private Equity,41.25,2016,Maharashtra
1266,Housing,Consumer Internet,Mumbai,Vineet singh,Private Equity,0,2016,Maharashtra
1267,Houssup,Consumer Internet,Jaipur,"Mitin patel, Gaurav agarwal",Seed Funding,0,2016,Rajasthan
1268,Hubilo,Event Management,Ahmedabad,"Girish mathrubootham, Vc karthic, Miten mehta, Umasankar nistala, Rakesh patel, Akash bhavsar, Jeevanandhan rajagopal, Vikas chadha & others",Seed Funding,0,2016,Gujarat
1269,Hungama,Consumer Internet,Mumbai,Xiaomi inc,Private Equity,206.25,2016,Maharashtra
1270,i2i Funding,Finance,Noida,Undisclosed investors,Seed Funding,2.48,2016,Uttar Pradesh
1271,iAugmentor Labs,Technology,Gurugram,Rajasthan angel investor network & others,Seed Funding,1.23,2016,Haryana
1272,iBus Networks,Technology,Bengaluru,"Vallabh bhanshali, N squared management llc, Jagdish & sandeep mehta family office",Private Equity,18.98,2016,Karnataka
1273,Icertis,Consumer Internet,Pune,"Ignition partners, Greycroft partners, Fidelity growth partners india",Private Equity,123.75,2016,Maharashtra
1274,ICHR,Consumer Internet,New Delhi,Undisclosed,Seed Funding,3.71,2016,Delhi
1275,iCliniq,Consumer Internet,Bengaluru,Madhankumar madathupalayam,Seed Funding,0,2016,Karnataka
1276,iCustomadeit,E-Commerce,Pune,"Brand capital, Siddhivinayak skyscrapers, Dinesh r. challa",Private Equity,33,2016,Maharashtra
1277,Idea Bubbles,Consumer Internet,Bengaluru,"1crowd, Eureka forbes ltd, Shapoorji pallonji & co. ltd.",Private Equity,5.78,2016,Karnataka
1278,IdeaChakki,Consumer Internet,New Delhi,Ratan tata,Seed Funding,0,2016,Delhi
1279,IdeaForge,Technology,Mumbai,"Wrv capital and indusage partners, Infosys innovation fund",Private Equity,82.5,2016,Maharashtra
1280,iDreamCareer,EdTech,New Delhi,Brand capital,Private Equity,0,2016,Delhi
1281,iGrenEnergi,Technology,Mumbai,Sunil mehta,Seed Funding,8.25,2016,Maharashtra
1282,IIM Jobs,Consumer Internet,New Delhi,India quotient,Private Equity,16.5,2016,Delhi
1283,ImageProVision,Technology,Pune,Satish jamdar,Seed Funding,0,2016,Maharashtra
1284,Imarticus Learning,Education,Mumbai,"Blinc advisors, Amit nanavati, Tashwinder singh, Taranjit jaswal, Amit khanna",Private Equity,8.25,2016,Maharashtra
1285,IMbesharam,E-Commerce,New Delhi,Undisclosed us based investors,Private Equity,33,2016,Delhi
1286,imedilane,Consumer Internet,New Delhi,"Mahendra patel, Nilender chauhan",Seed Funding,0.33,2016,Delhi
